system,query_set_description,questions_evaluated,questions_run,successful_questions,failed_questions,error_rate,avg_faithfulness_score,avg_answer_relevance_score,avg_context_relevance_score,avg_completeness_score,avg_citation_quality_score,avg_hallucination_score,hallucination_detected_count,hallucination_rate,avg_latency_seconds,min_latency_seconds,max_latency_seconds,complex_questions_detected,avg_subqueries_per_question,avg_validated_sources_per_question,avg_rejected_sources_per_question
Baseline RAG,50 dataset-aligned questions,15,15,15,0,0.0,5,5,5,5,5,5,0,0.0,1.846,0.549,3.584,N/A,N/A,N/A,N/A
Agentic RAG,15 complex multi-part questions,15,15,15,0,0.0,5,5,5,5,5,5,0,0.0,3.144,1.411,4.736,15,3.667,5.067,1.467
